date,portfolio_value,cash,positions,total_pnl
2024-01-02,100000.0,100000.0,0,0.0
2024-01-03,100000.0,100000.0,0,0.0
2024-01-04,100000.0,100000.0,0,0.0
2024-01-05,100000.0,94599.33,1,0.0
2024-01-08,100000.0,84453.45,3,0.0
2024-01-09,100407.0,90261.12,2,407.0
2024-01-10,100407.0,90261.12,2,407.0
2024-01-11,100407.0,90261.12,2,407.0
2024-01-12,100407.0,90261.12,2,407.0
2024-01-16,100407.0,90261.12,2,407.0
2024-01-17,100407.0,90261.12,2,407.0
2024-01-18,100407.0,90261.12,2,407.0
2024-01-19,100407.0,90261.12,2,407.0
2024-01-22,100962.6,100962.6,0,962.6
2024-01-23,100962.6,100962.6,0,962.6
2024-01-24,100962.6,100962.6,0,962.6
2024-01-25,100962.6,100962.6,0,962.6
2024-01-26,100962.6,100962.6,0,962.6
2024-01-29,100962.6,95425.63,1,962.6
2024-01-30,100962.6,95425.63,1,962.6
2024-01-31,100857.04,100857.04,0,857.04
2024-02-01,100857.04,100857.04,0,857.04
2024-02-02,100857.04,97978.5,1,857.04
2024-02-05,100818.05,100818.05,0,818.05
2024-02-06,100818.05,96005.45,1,818.05
2024-02-07,100818.05,96005.45,1,818.05
2024-02-08,100818.05,96005.45,1,818.05
2024-02-09,100818.05,92280.45,2,818.05
2024-02-12,100896.83,97171.83,1,896.83
2024-02-13,100800.33,100800.33,0,800.33
2024-02-14,100800.33,95893.87,1,800.33
2024-02-15,100800.33,95893.87,1,800.33
2024-02-16,100800.33,95893.87,1,800.33
2024-02-20,100931.63,100931.63,0,931.63
2024-02-21,100931.63,100931.63,0,931.63
2024-02-22,100931.63,96403.48,1,931.63
2024-02-23,100931.63,96403.48,1,931.63
2024-02-26,100931.63,90421.48,2,931.63
2024-02-27,100931.63,90421.48,2,931.63
2024-02-28,100931.63,90421.48,2,931.63
2024-02-29,100931.63,90421.48,2,931.63
2024-03-01,100931.63,90421.48,2,931.63
2024-03-04,100593.83,96065.68,1,593.83
2024-03-05,100494.83,100494.83,0,494.83
2024-03-06,100494.83,100494.83,0,494.83
2024-03-07,100494.83,100494.83,0,494.83
2024-03-08,100494.83,100494.83,0,494.83
2024-03-11,100494.83,100494.83,0,494.83
2024-03-12,100494.83,96342.03,1,494.83
2024-03-13,100494.83,96342.03,1,494.83
2024-03-14,100494.83,96342.03,1,494.83
2024-03-15,100506.23,100506.23,0,506.23
2024-03-18,100506.23,87412.95,2,506.23
2024-03-19,100426.87,92895.19,1,426.87
2024-03-20,100426.87,92895.19,1,426.87
2024-03-21,100426.87,92895.19,1,426.87
2024-03-22,100426.87,92895.19,1,426.87
2024-03-25,100426.87,92895.19,1,426.87
2024-03-26,100426.87,92895.19,1,426.87
2024-03-27,100426.87,92895.19,1,426.87
2024-03-28,100426.87,92895.19,1,426.87
