date,portfolio_value,cash,positions,total_pnl
2025-01-02,100000.0,100000.0,0,0.0
2025-01-03,100000.0,100000.0,0,0.0
2025-01-06,100000.0,100000.0,0,0.0
2025-01-07,99973.8,90155.48,2,0.0
2025-01-08,99933.96,90155.48,2,0.0
2025-01-10,100112.22,90155.48,2,0.0
2025-01-13,100155.76,75222.64,3,0.0
2025-01-14,101200.96,75222.64,3,0.0
2025-01-15,101303.46,75222.64,3,0.0
2025-01-16,102390.67,59545.49,4,0.0
2025-01-17,102050.24,59545.49,4,0.0
2025-01-21,103174.15,59545.49,4,0.0
2025-01-22,102596.49,37446.43,6,0.0
2025-01-23,103250.15,37446.43,6,0.0
2025-01-24,102705.33,37446.43,6,0.0
2025-01-27,95482.34,41911.43,5,-675.86
2025-01-28,96561.52,41911.43,5,-675.86
2025-01-29,97384.42,41911.43,5,-675.86
2025-01-30,99856.23,41911.43,5,-675.86
2025-01-31,97498.78,41911.43,5,-675.86
2025-02-03,97897.85,41911.43,5,-675.86
2025-02-04,99251.51,42681.52,6,-2060.96
2025-02-05,99828.98,42681.52,6,-2060.96
2025-02-06,99753.3,42681.52,6,-2060.96
2025-02-07,99175.53,42351.03,6,-2734.86
2025-02-10,99852.22,42351.03,6,-2734.86
2025-02-11,99167.12,42351.03,6,-2734.86
2025-02-12,99452.75,37415.19,7,-2734.86
2025-02-13,99572.17,37415.19,7,-2734.86
2025-02-14,99984.63,37415.19,7,-2734.86
2025-02-18,101081.8,37415.19,7,-2734.86
2025-02-19,99641.63,37415.19,7,-2734.86
2025-02-20,97452.39,41707.19,6,-3299.49
2025-02-21,94694.97,46535.16,5,-3406.28
2025-02-24,92457.12,50945.16,4,-3932.12
2025-02-25,91437.88,50945.16,4,-3932.12
2025-02-26,92763.29,46436.16,5,-3932.12
2025-02-27,89946.62,46436.16,5,-3932.12
2025-02-28,90697.48,46436.16,5,-3932.12
2025-03-03,88882.96,49651.4,5,-4680.61
2025-03-04,88491.96,49651.4,5,-4680.61
2025-03-05,88734.93,49651.4,5,-4680.61
2025-03-06,86311.32,45932.52,5,-4680.61
2025-03-07,85955.8,45932.52,5,-4680.61
2025-03-10,84083.55,45932.52,5,-4680.61
2025-03-11,83707.51,44283.46,5,-12414.07
2025-03-12,83765.32,44283.46,5,-12414.07
2025-03-13,83380.94,44283.46,5,-12414.07
2025-03-14,84013.76,37246.49,6,-12414.07
2025-03-17,84633.46,37246.49,6,-12414.07
2025-03-18,84695.33,37246.49,6,-12414.07
2025-03-19,84874.44,38021.23,7,-13239.37
2025-03-20,84995.17,38021.23,7,-13239.37
2025-03-21,84913.21,38021.23,7,-13239.37
2025-03-24,85636.73,35002.03,7,-13239.37
2025-03-25,85308.55,35002.03,7,-13239.37
2025-03-26,84859.46,35002.03,7,-13239.37
2025-03-27,88030.13,38809.2,7,-13417.12
2025-03-28,87383.47,38809.2,7,-13417.12
2025-03-31,87628.35,38809.2,7,-13417.12
2025-04-01,86912.56,38809.2,7,-13417.12
2025-04-02,87490.82,38809.2,7,-13417.12
2025-04-03,86768.88,38809.2,7,-13417.12
2025-04-04,81610.32,43305.76,5,-14116.53
2025-04-07,81290.7,43305.76,5,-14116.53
2025-04-08,81068.53,43305.76,5,-14116.53
2025-04-09,85645.58,41524.24,6,-14116.53
2025-04-10,85440.67,41524.24,6,-14116.53
2025-04-11,86094.05,41524.24,6,-14116.53
2025-04-14,89395.52,64137.16,6,-18364.12
2025-04-15,89327.49,64137.16,6,-18364.12
2025-04-16,89467.86,64137.16,6,-18364.12
2025-04-17,87347.99,59815.61,7,-18364.12
2025-04-21,86644.12,59815.61,7,-18364.12
2025-04-22,86906.03,59815.61,7,-18364.12
2025-04-23,91186.65,64649.87,7,-20403.27
2025-04-24,91078.06,64649.87,7,-20403.27
2025-04-25,91046.01,64649.87,7,-20403.27
2025-04-28,91048.31,59393.08,7,-20713.33
2025-04-29,91214.46,59393.08,7,-20713.33
2025-04-30,91918.57,59393.08,7,-20713.33
2025-05-01,94233.76,58088.5,8,-20713.33
2025-05-02,94289.0,58088.5,8,-20713.33
2025-05-05,94976.13,58088.5,8,-20713.33
2025-05-06,91526.16,50178.64,8,-20958.13
2025-05-07,91191.59,50178.64,8,-20958.13
2025-05-08,90887.85,50178.64,8,-20958.13
2025-05-09,90530.97,43968.07,8,-20958.13
2025-05-12,90600.99,43968.07,8,-20958.13
2025-05-13,90691.57,49278.07,7,-20116.99
2025-05-14,90876.59,50631.57,6,-21218.51
2025-05-15,90200.36,50631.57,6,-21218.51
2025-05-16,91492.92,50631.57,6,-21218.51
2025-05-19,91564.08,35166.92,6,-21089.29
2025-05-20,91089.14,35166.92,6,-21089.29
2025-05-21,90434.68,35166.92,6,-21089.29
2025-05-22,91256.67,25922.81,7,-21089.29
2025-05-23,91377.94,25922.81,7,-21089.29
2025-05-27,92753.4,25922.81,7,-21089.29
2025-05-28,92238.94,29242.55,7,-20784.88
2025-05-29,91903.51,29242.55,7,-20784.88
2025-05-30,92068.54,29242.55,7,-20784.88
2025-06-02,93110.57,26821.85,7,-20784.88
2025-06-03,94505.71,26821.85,7,-20784.88
2025-06-04,93391.34,26821.85,7,-20784.88
2025-06-05,92469.45,29703.0,7,-20650.36
2025-06-06,92488.77,29703.0,7,-20650.36
2025-06-09,92167.14,29703.0,7,-20650.36
2025-06-10,91158.08,26918.0,7,-20739.66
2025-06-11,91225.3,26918.0,7,-20739.66
2025-06-12,92060.84,26918.0,7,-20739.66
2025-06-13,79967.03,20001.47,6,-23265.85
2025-06-16,81353.68,20001.47,6,-23265.85
2025-06-17,81043.63,20001.47,6,-23265.85
2025-06-18,81517.88,20001.47,6,-23265.85
2025-06-20,81637.25,20001.47,6,-23265.85
2025-06-23,82750.59,20001.47,6,-23265.85
2025-06-24,83699.33,16761.01,7,-23265.85
2025-06-25,83639.05,16761.01,7,-23265.85
2025-06-26,84900.27,16761.01,7,-23265.85
2025-06-27,85307.13,22530.13,7,-21846.94
2025-06-30,85885.05,22530.13,7,-21846.94
2025-07-01,84195.99,22530.13,7,-21846.94
2025-07-02,85087.59,24324.75,6,-21748.15
2025-07-03,86130.31,24324.75,6,-21748.15
2025-07-07,85941.54,24324.75,6,-21748.15
2025-07-08,85198.22,20742.62,6,-21766.42
2025-07-09,86407.93,20742.62,6,-21766.42
2025-07-10,86273.54,20742.62,6,-21766.42
2025-07-11,86444.77,18521.84,6,-22015.34
2025-07-14,86526.62,18521.84,6,-22015.34
2025-07-15,86944.99,18521.84,6,-22015.34
2025-07-16,86705.39,21249.4,6,-21919.2
2025-07-17,87335.23,21249.4,6,-21919.2
2025-07-18,87873.67,21249.4,6,-21919.2
2025-07-21,87601.78,19008.07,6,-21919.2
2025-07-22,86394.68,19008.07,6,-21919.2
2025-07-23,88181.87,19008.07,6,-21919.2
2025-07-24,88510.23,19008.07,6,-21919.2
2025-07-25,88522.25,19008.07,6,-21919.2
2025-07-28,88995.09,19008.07,6,-21919.2
2025-07-29,89250.49,19008.07,6,-21919.2
2025-07-30,90611.35,19008.07,6,-21919.2
2025-07-31,89894.65,19008.07,6,-21919.2
2025-08-01,88831.93,18681.71,6,-22032.06
2025-08-04,90790.31,18681.71,6,-22032.06
2025-08-05,89714.1,18681.71,6,-22032.06
2025-08-06,89691.22,18681.71,6,-22032.06
2025-08-07,90495.78,18681.71,6,-22032.06
2025-08-08,90399.5,18681.71,6,-22032.06
2025-08-11,90031.08,19329.02,7,-19630.17
2025-08-12,91756.94,19329.02,7,-19630.17
2025-08-13,90945.48,19329.02,7,-19630.17
2025-08-14,90874.08,18440.17,7,-19483.18
2025-08-15,89896.12,18440.17,7,-19483.18
2025-08-18,90013.76,18440.17,7,-19483.18
2025-08-19,88037.26,24154.18,5,-20116.99
2025-08-20,87589.93,24154.18,5,-20116.99
2025-08-21,87271.85,24154.18,5,-20116.99
2025-08-22,88279.08,27543.57,7,-12412.29
2025-08-25,88436.71,27543.57,7,-12412.29
2025-08-26,88826.88,27543.57,7,-12412.29
2025-08-27,88909.11,25888.74,8,-12033.84
2025-08-28,89373.92,25888.74,8,-12033.84
2025-08-29,88639.67,25888.74,8,-12033.84
2025-09-02,88471.48,30594.39,7,-12145.14
2025-09-03,89870.25,30594.39,7,-12145.14
2025-09-04,90372.38,30594.39,7,-12145.14
2025-09-05,90732.15,32997.63,7,-12245.94
2025-09-08,90389.93,32997.63,7,-12245.94
2025-09-09,91069.11,32997.63,7,-12245.94
2025-09-10,91775.11,37437.39,6,-12269.34
2025-09-11,92462.98,37437.39,6,-12269.34
2025-09-12,92374.74,37437.39,6,-12269.34
2025-09-15,92970.14,26491.24,7,-12269.34
2025-09-16,92562.19,26491.24,7,-12269.34
2025-09-17,92733.68,26491.24,7,-12269.34
2025-09-18,93120.3,26043.92,7,-12336.81
2025-09-19,93335.52,26043.92,7,-12336.81
2025-09-22,93443.43,26043.92,7,-12336.81
2025-09-23,94019.79,19623.74,8,-12336.81
2025-09-24,93244.36,19623.74,8,-12336.81
2025-09-25,92411.75,19623.74,8,-12336.81
2025-09-26,92613.07,20039.47,8,-12117.93
2025-09-29,92871.99,20039.47,8,-12117.93
2025-09-30,93630.55,20039.47,8,-12117.93
2025-10-01,95693.18,20022.71,8,-11662.65
2025-10-02,95436.81,20022.71,8,-11662.65
2025-10-03,95888.56,20022.71,8,-11662.65
2025-10-06,96449.26,19628.22,8,-8538.37
2025-10-07,95793.47,19628.22,8,-8538.37
2025-10-08,96779.63,19628.22,8,-8538.37
2025-10-09,96118.8,19628.22,8,-8538.37
2025-10-10,94083.5,19628.22,8,-8538.37
2025-10-13,96316.8,19628.22,8,-8538.37
2025-10-14,95510.02,19293.75,8,-8304.74
2025-10-15,96376.46,19293.75,8,-8304.74
2025-10-16,97057.7,19293.75,8,-8304.74
2025-10-17,97122.69,28716.85,7,-6850.56
2025-10-20,97939.47,28716.85,7,-6850.56
2025-10-21,97307.79,28716.85,7,-6850.56
2025-10-22,96469.22,30234.25,7,-5731.88
2025-10-23,97302.76,30234.25,7,-5731.88
2025-10-24,98796.66,30234.25,7,-5731.88
2025-10-27,99259.34,31001.14,8,-5832.38
2025-10-28,99074.51,31001.14,8,-5832.38
2025-10-29,98941.52,31001.14,8,-5832.38
2025-10-30,98215.2,24785.21,8,-5832.38
2025-10-31,97974.89,24785.21,8,-5832.38
2025-11-03,98978.5,24785.21,8,-5832.38
2025-11-04,96872.4,26729.66,7,-6284.07
2025-11-05,99095.18,26729.66,7,-6284.07
2025-11-06,98798.53,26729.66,7,-6284.07
2025-11-07,98882.15,25058.37,7,-7072.72
2025-11-10,101690.81,25058.37,7,-7072.72
2025-11-11,100815.55,25058.37,7,-7072.72
2025-11-12,101159.69,22557.85,7,-7161.22
2025-11-13,99755.99,22557.85,7,-7161.22
2025-11-14,100190.88,22557.85,7,-7161.22
